問題,正解,不正解
花<style=C1-2>はな</style>見<style=C1-1>み</style>川<style=C1-2>かわ</style>区<style=C1-1>く</style>役<style=C1-2>やく</style>所<style=C1-1.5>しょ</style>の近<style=C1-2>ちか</style>くにある、¥n見<style=C1-1>み</style>頃<style=C1-2>ごろ</style>には１００輪<style=C1-2>りん</style>近<style=C1-2>ちか</style>くのオオガハスが見<style=C1-1>み</style>られる公<style=C1-2>こう</style>園<style=1C-2>えん</style>の名<style=C1-1>な</style>前<style=C1-2>まえ</style>は何<style=C1-2>なん</style>でしょうか？,しらさぎ公<style=C1-2>こう</style>園<style=C1-2>えん</style>,くろさぎ公<style=C1-2>こう</style>園<style=C1-2>えん</style>
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にある、こんよう神<style=1C-2>じん</style>社<style=1C-2>じゃ</style>は何<style=C1-2>なん</style>の神<style=1C-2>かみ</style>様<style=C1-2>さま</style>を祀<style=C1-2>まつ</style>っているでしょうか？,芋<style=C1-2>いも</style>神<style=C1-2>がみ</style>様<style=C1-2>さま</style>,じゃがいも様<style=C1-2>さま</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>の中<style=1C-2.5>ちゅう</style>央<style=1C-2>おう</style>部<style=1C-1>ぶ</style>を流<style=1C-2>なが</style>れる花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>がつながっているのは、どちらでしょうか？,印<style=C1-2>いん</style>旛<style=C1-1>ば</style>沼<style=C1-2>ぬま</style>,琵<style=C1-1>び</style>琶<style=C1-1>わ</style>湖<style=C1-1>こ</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>宇<style=1C-1>う</style>那<style=1C-1>な</style>谷<style=1C-1>や</style>町<style=1C-2.5>ちょう</style>にある内<style=1C-2>うち</style>野<style=1C-1>の</style>第<style=1C-2>だい</style>１遺<style=1C-1>い</style>跡<style=1C-2>せき</style>で見<style=1C-1>み</style>つかった土<style=1C-1>ど</style>版<style=1C-2>ばん</style>（長<style=1C-2.5>ちょう</style>方<style=1C-2>ほう</style>形<style=1C-2>けい</style>の土<style=1C-2>つち</style>製<style=1C-2>せい</style>品<style=1C-2>ひん</style>）にはあるものが表<style=1C-2.5>ひょう</style>現<style=1C-2>げん</style>されていましたが、それは何<style=1C-2>なん</style>でしょうか？,人<style=C1-2>ひと</style>の顔<style=C1-2>かお</style>,犬<style=C1-2>いぬ</style>の顔<style=C1-2>かお</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>武<style=1C-2>たけ</style>石<style=1C-2>いし</style>にある武<style=1C-2>たけ</style>石<style=1C-2>いし</style>神<style=1C-2>じん</style>社<style=1C-1.5>じゃ</style>でまつられる「武<style=1C-2>たけ</style>石<style=1C-2>いし</style>胤<style=1C-2>たね</style>盛<style=1C-2>もり</style> 」は、誰<style=1C-2>だれ</style>の息<style=1C-2>むす</style>子<style=1C-1>こ</style>でしょうか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>常<style=C1-2>つね</style>胤<style=C1-2>たね</style>,源頼朝<style=C3-9>みなもとのよりとも</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>花<style=1C-2>はな</style>園<style=1C-2>ぞの</style>にある花<style=1C-2>はな</style>園<style=1C-2>ぞの</style>公<style=1C-2>こう</style>民<style=1C-2>みん</style>館<style=1C-2>かん</style>は、市<style=1C-1>し</style>の公<style=1C-2>こう</style>民<style=1C-2>みん</style>館<style=1C-2>かん</style>の中<style=1C-2>なか</style>でも特<style=1C-2>とく</style>徴<style=1C-2.5>ちょう</style>がありますが、それはどれでしょうか？,千<style=C1-1>ち</style>葉<style=C1-1>ば</style>市<style=C1-1>し</style>初<style=C1-2>はつ</style>の公<style=C1-2>こう</style>民<style=C1-2>みん</style>館<style=C1-2>かん</style>,木<style=C1-2>もく</style>造<style=C1-2>ぞう</style>である
ＪＲ幕<style=1C-2>まく</style>張<style=1C-2>はり</style>駅<style=1C-2>えき</style>が開<style=1C-2>かい</style>業<style=1C-2.5>ぎょう</style>した1894年<style=1C-2>ねん</style>にあったできごとはどちらでしょうか？,日<style=C1-1>に</style>本<style=C1-2>ほん</style>と清<style=C1-2>しん</style>(中<style=C1-2.5>ちゅう</style>国<style=C1-2>ごく</style>)の戦<style=C1-2>せん</style>争<style=C1-2>そう</style>,日<style=C1-1>に</style>本<style=C1-2>ほん</style>とロシアの戦<style=C1-2>せん</style>争<style=C1-2>そう</style>
花<style=1C-2>はな</style>見<style=1C-1>み</style>川<style=1C-2>かわ</style>区<style=1C-1>く</style>さつきが丘<style=1C-2>おか</style>にある犢<style=1C-2>こて</style>橋<style=1C-2>はし</style>貝<style=1C-2>かい</style>塚<style=1C-2>ずか</style>では、貝<style=1C-2>かい</style>の他<style=1C-2>ほか</style>に動<style=1C-2>どう</style>物<style=1C-2>ぶつ</style>の骨<style=1C-2>ほね</style>も出<style=1C-2.5>しゅつ</style>土<style=1C-1>ど</style>しています。一<style=1C-2>いち</style>番<style=1C-2>ばん</style>多<style=1C-2>おお</style>く出<style=1C-2.5>しゅつ</style>土<style=1C-1>ど</style>している動<style=1C-2>どう</style>物<style=1C-2>ぶつ</style>の骨<style=1C-2>ほね</style>は何<style=1C-2>なん</style>でしょうか？,シカ,マンモス
稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>区<style=1C-1>く</style>稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>の国<style=1C-2>こく</style>道<style=1C-2>どう</style>１４号<style=1C-2>ごう</style>沿<style=1C-1>ぞ</style>いには、稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>浅<style=1C-2>あさ</style>間<style=1C-1>ま</style>神<style=1C-2>じん</style>社<style=1C-1.5>じゃ</style>の鳥<style=1C-2>とり</style>居<style=1C-1>い</style>があります。この場<style=1C-1>ば</style>所<style=1C-1.5>しょ</style>は、もともとどんな場<style=1C-1>ば</style>所<style=1C-1.5>しょ</style>だったでしょうか？,海<style=C1-2>うみ</style>,砂<style=C1-1>さ</style>漠<style=C1-2>ばく</style>
稲<style=1C-2>いな</style>毛<style=1C-1>げ</style>区<style=1C-1>く</style>轟<style=1C-4>とどろき</style>町<style=1C-2.5>ちょう</style>の来<style=1C-2>らい</style>迎<style=1C-2>こう</style>寺<style=1C-1>じ</style>は、元<style=1C-2>もと</style>々<style=1C-2>もと</style>中<style=1C-2.5>ちゅう</style>央<style=1C-2>おう</style>区<style=1C-1>く</style>にありました。とあるできごとをきっかけに場<style=1C-1>ば</style>所<style=1C-1.5>しょ</style>が移<style=1C-2>うつ</style>されました。それは何<style=1C-2>なん</style>でしょうか？,1945年<style=C1-2>ねん</style>:千<style=C1-1>ち</style>葉<style=C1-1>ば</style>空<style=C1-2>くう</style>襲<style=C1-2.5>しゅう</style>, 1976年<style=C1-2>ねん</style>:できてから700年<style=C1-2>ねん</style>の記<style=C1-1>き</style>念<style=C1-2>ねん</style>
