問題,正解,不正解
千<style=1C-1>ち</style>葉<style=1C-1>ば</style>市<style=1C-1>し</style>にあるしらさぎ公<style=1C-2>こう</style>園<style=1C-2>えん</style>で、一<style=1C-2>いち</style>番<style=1C-2>ばん</style>多<style=1C-2>おお</style>くオオガハスがさいたのはどれくらいでしょうか？,９４輪<style=C1-2>りん</style>,７３輪<style=C1-2>りん</style>
千葉市<style=C3-3>ちばし</style>にある、こんよう神社<style=C2-3.5>じんじゃ</style>は何<style=C1-2>なん</style>の神様<style=C2-4>かみさま</style>を祀<style=C1-2>まつ</style>っているでしょうか？,芋神様<style=C3-6>いもがみさま</style>,じゃがいも様<style=C1-2>さま</style>
千葉市<style=C3-3>ちばし</style>にある花見川<style=C3-5>はなみがわ</style>は何時代<style=C3-5>なにじだい</style>に整備<style=C2-3>せいび</style>されたでしょうか？,江戸時代<style=C4-5>えどじだい</style>,縄文時代<style=C4-7.5>じょうもんじだい</style>
内野第１遺跡<style=C6-9>うちのだいいちいせき</style>で見<style=C1-1>み</style>つかっていない遺物<style=C2-3>いぶつ</style>はどっちでしょうか？,ハニワ,ミニチュア土器<style=C2-2>どき</style>
千葉市<style=C3-3>ちばし</style>にある武石神社<style=C4-7.5>たけいしじんじゃ</style>は誰<style=C1-2>だれ</style>に関係<style=C2-4>かんけい</style>した神社<style=C2-4>じんじゃ</style>でしょうか？,武石三郎胤盛<style=C6-12>たけいしさぶろうたねもり</style>,武石三十郎胤盛<style=C7-14.5>たけいしさんじゅうろうたねもり</style>
千葉市<style=C3-3>ちばし</style>にある花園公民館<style=C5-10>はなぞのこうみんかん</style>が出<style=C1-1>だ</style>しているお便<style=C1-2>たよ</style>りはどっちでしょうか？,花園公民館<style=C5-10>はなぞのこうみんかん</style>だより,お花<style=C1-2>はな</style>だより
千葉市<style=C3-3>ちばし</style>にある幕張駅<style=C3-6>まくはりえき</style>が発車<style=C2-4>はっしゃ</style>メロディーを導入<style=C2-4.5>どうにゅう</style>したのはいつでしょうか？,平成10年<style=C5-8.5>へいせいじゅうねん</style>,昭和62年<style=C5-11>しょうわろくじゅうにねん</style>
千葉市<style=C3-3>ちばし</style>にある犢橋貝塚<style=C4-8>こてはしかいづか</style>が史跡<style=C2-3>しせき</style>に指定<style=C2-3>してい</style>されたのはいつでしょうか？,昭和56年<style=C5-11>しょうわごじゅうろくねん</style>,昭和43年<style=C5-12>しょうわよんじゅうさんねん</style>
千葉市<style=C3-3>ちばし</style>にある稲毛浅間神社一<style=C7-12.5>いなげせんげんじんじゃいち</style>の鳥居<style=C2-3>とりい</style>はもともとどこにあったでしょうか？,海<style=C1-2>うみ</style>の上<style=C1-2> うえ</style>,空<style=C1-2>そら</style>の上<style=C1-2>うえ</style>
千葉市<style=C3-3>ちばし</style>にある来迎寺<style=C3-5>らいこうじ</style>の五輪塔<style=C3-5>ごりんとう</style>に書<style=C1-1>か</style>いてある銘文<style=C2-4>めいぶん</style>は何人分<style=C3-6>なんにんぶん</style>でしょうか？,7人分<style=C3-6>ななにんぶん</style>,5人分<style=C3-5>ごにんぶん</style>
千葉氏累代<style=C5-8>ちばうじるいだい</style>の墓碑<style=C2-2>ぼひ</style>は千葉市<style=C3-3>ちばし</style>のどこのお寺<style=C1-2>てら</style>にあるでしょうか？,大日寺<style=C3-5>だいにちじ</style>,来迎寺<style=C3-5>らいこうじ</style>
千葉市<style=C3-3>ちばし</style>ゆかりの家<style=C1-2>いえ</style>・いなげは貴重<style=C2-3.5>きちょう</style>な和風別荘建築<style=C6-11.5>わふうべっそうけんちく</style>として何<style=C1-2>なに</style>に登録<style=C2-4>とうろく</style>されたか？,千葉市地域有形文化財<style=C10-15>ちばしちいきゆうけいぶんかざい</style>,世界遺産<style=C4-6>せかいいさん</style>
千葉市<style=C3-3>ちばし</style>にある旧神谷伝兵衛稲毛別荘<style=C10-16>きゅうかみやでんべえいなげべっそう</style>を建<style=C1-1>た</style>てた神谷傳兵衛<style=C5-7>かみやでんべえ</style>は何<style=C1-2>なん</style>と呼<style=C1-1>よ</style>ばれていたでしょう？,日本<style=C2-3>にほん</style>のワイン王<style=C1-2>おう</style>,日本<style=C2-3>にほん</style>のバナナ王<style=C1-2>おう</style>
千葉公園周辺<style=C6-10.5>ちばこうえんしゅうへん</style>で毎年行<style=C3-7>まいとしおこな</style>われるお祭<style=C1-2>まつ</style>りはどっちでしょうか？,大賀<style=C2-3>おおが</style>ハスまつり,キッズフェスタ
千葉県<style=C3-3>ちばし</style>で唯一<style=C2-4>ゆいいつ</style>、チーターやブチハイエナに会<style=C1-1>あ</style>えるのはどこでしょうか？,千葉市動物園<style=C6-9>ちばしどうぶつえん</style>,千葉公園<style=C4-6>ちばこうえん</style>
千葉市動物園<style=C6-9>ちばしどうぶつえん</style>で会<style=C1-1>あ</style>えるレッサーパンダの名前<style=C2-3>なまえ</style>は何<style=C1-2>なん</style>でしょう？,風太<style=C2-3>ふうた</style>くん,風神<style=C2-4>ふうじん</style>くん
